"","User","ISBN","Book.Rating"
"1",276725,"034545104X",0
"6",276733,"2080674722",0
"11",276746,"0425115801",0
"12",276746,"0449006522",0
"17",276747,"0060517794",9
"20",276747,"0671537458",9
"29",276754,"0684867621",8
"32",276762,"034544003X",0
"36",276762,"0451454952",0
"42",276762,"3426690179",0
"45",276762,"3453092007",8
"51",276762,"3453877241",0
"63",276772,"3596151465",10
"64",276774,"0099543818",0
"65",276774,"3404147723",0
"77",276786,"8433914456",0
"79",276786,"8445072919",0
"84",276788,"0345443683",8
"86",276788,"055310666X",10
"87",276796,"0330332775",5
"89",276798,"0006379702",5
"94",276798,"3453073398",0
"95",276798,"3453115783",0
"98",276798,"3548603203",6
"108",276804,"0064405176",0
"109",276804,"0439104769",0
"110",276804,"0440498058",8
"141",276822,"0439401399",6
"143",276822,"0689804458",8
"151",276828,"0385272324",0
"154",276828,"2070334430",0
"156",276828,"2080680676",0
"157",276828,"2232122263",0
"165",276832,"0316781266",0
"169",276837,"0380005239",5
"170",276838,"1593080255",0
"174",276847,"0446364193",0
"180",276847,"3423071516",10
"188",276847,"3442422035",9
"196",276847,"3442449820",9
"205",276847,"3499232529",0
"215",276847,"359621078X",9
"218",276847,"3608935428",10
"219",276847,"3608935436",10
"220",276847,"374661922X",0
"221",276847,"3770131495",0
"231",276848,"3453071174",0
"236",276848,"3596122279",0
"242",276853,"8420457477",1
"244",276854,"0671034944",5
"250",276856,"2013218826",0
"252",276856,"207033015X",0
"255",276856,"2205040561",0
"257",276856,"2253005274",0
"275",276859,"0140367446",0
"281",276859,"0836218833",10
"282",276859,"0836220889",10
"297",276861,"3608935428",9
"298",276861,"3608935436",9
"306",276866,"3404126343",8
"313",276866,"3426702266",0
"315",276866,"3442443806",4
"320",276866,"3453132262",0
"323",276866,"3596247500",0
"326",276869,"044020562X",0
"349",276875,"8806155873",0
"379",276878,"0449210197",6
"381",276884,"0151446474",0
"388",276887,"0812533550",9
"393",276896,"0440241537",10
"396",276904,"0439317746",5
"397",276904,"0440228840",10
"404",276911,"8420430943",8
"414",276925,"002542730X",10
"415",276925,"0060520507",0
"422",276925,"0141181222",0
"423",276925,"0151010633",0
"429",276925,"0375400699",0
"430",276925,"0385504209",8
"436",276925,"0451527747",0
"437",276925,"0486282112",0
"439",276925,"0553275283",8
"443",276925,"0613329740",0
"451",276925,"0747545111",0
"457",276925,"0879517344",0
"458",276925,"0971880107",0
"461",276925,"1853262404",0
"468",276925,"8401009421",0
"473",276925,"8420427462",0
"475",276925,"8420444367",9
"481",276925,"8423325105",0
"484",276925,"8423970647",0
"487",276925,"8427007450",0
"496",276925,"8440696833",0
"497",276925,"8445071572",0
"501",276925,"8472453723",0
"526",276928,"0590453661",0
"556",276929,"2070425770",0
"562",276929,"2253030570",8
"563",276929,"2253049417",0
"569",276929,"2264010991",5
"592",276929,"2290303488",0
"595",276929,"2290315524",0
"610",276929,"2907572121",0
"616",276936,"3492224768",6
"617",276936,"3596122279",5
"623",276939,"059035342X",0
"626",276939,"0971880107",0
"628",276939,"2070414256",7
"630",276939,"2253063339",9
"635",276939,"226612269X",9
"649",276953,"0446310786",10
"651",276954,"0971880107",0
"652",276954,"3257008155",0
"657",276954,"3442723078",0
"663",276954,"3502513333",0
"677",276957,"0312966970",6
"680",276964,"0061096261",0
"686",276964,"0345385764",0
"689",276964,"0425104273",9
"693",276964,"0446522856",0
"697",276964,"0517093715",0
"699",276964,"0684867621",8
"708",276964,"0886775957",10
"716",276984,"0590260251",9
"718",276984,"0590426702",10
"724",276984,"059043649X",9
"727",276984,"0590442988",0
"728",276984,"0590442996",10
"730",276984,"0590448595",9
"731",276984,"0590456458",0
"733",276984,"0590470485",9
"736",276986,"0375760911",10
"752",276994,"3100970616",10
"757",276994,"342677609X",5
"759",276994,"3442727073",9
"762",276994,"3492045170",7
"767",276994,"3550075359",6
"769",276994,"3596214629",8
"778",277012,"0553581112",9
"779",277012,"0805047379",5
"781",277018,"0373250223",7
"782",277018,"0451097009",7
"786",277023,"0553140779",6
"801",277042,"0380731851",0
"802",277042,"0446605484",7
"807",277042,"0671003755",0
"810",277042,"074343627X",8
"813",277042,"0971880107",2
"823",277051,"0553262505",7
"825",277051,"0805062971",0
"829",277051,"3453171500",7
"838",277072,"1573229571",9
"853",277087,"8426105084",9
"859",277087,"8470394126",5
"870",277107,"081297106X",10
"871",277107,"0843951826",5
"875",277109,"0385334141",5
"888",277128,"0140118608",8
"896",277142,"0688174590",0
"899",277143,"0345342968",9
"904",277143,"0767903382",8
"907",277157,"0060002484",0
"910",277157,"0312331754",7
"911",277157,"0312874243",0
"916",277157,"034541389X",0
"918",277157,"0345452550",7
"920",277157,"0380731851",0
"927",277157,"0399141340",8
"934",277157,"0399147624",5
"966",277157,"0971880107",0
"969",277168,"0380724987",0
"971",277168,"0380816059",0
"973",277168,"0425175405",0
"975",277168,"0440225701",0
"976",277168,"0446602485",0
"977",277168,"0446603406",0
"980",277168,"0553227041",0
"982",277168,"0553295098",0
"984",277168,"067102423X",0
"987",277168,"0722509049",0
"988",277168,"0812500067",0
"990",277168,"0812568710",5
"992",277168,"0890875588",0
"1002",277171,"0020259700",7
"1015",277171,"0553299506",0
"1025",277179,"0679767800",7
"1031",277186,"0006543545",7
"1057",277187,"0671042858",0
"1059",277187,"0679425233",0
"1060",277187,"0679433090",0
"1068",277187,"1564141330",0
"1082",277195,"0020847459",0
"1085",277195,"0060502258",0
"1093",277195,"006251170X",0
"1095",277195,"0156799804",0
"1098",277195,"031284879X",0
"1101",277195,"0330332775",10
"1106",277195,"0375406328",0
"1114",277195,"0394569652",0
"1117",277195,"0399142789",0
"1122",277195,"0446604801",0
"1123",277195,"0446605484",0
"1126",277195,"0446609323",0
"1127",277195,"0449134482",0
"1133",277195,"0553268880",0
"1134",277195,"0553273604",0
"1137",277195,"0553572997",0
"1139",277195,"0670869902",10
"1140",277195,"0671010115",0
"1141",277195,"0671021001",10
"1143",277195,"0671510053",0
"1151",277195,"0679746048",0
"1154",277195,"0684841347",0
"1155",277195,"0684859769",0
"1156",277195,"0723216428",0
"1157",277195,"0743458036",0
"1162",277195,"0811801802",0
"1165",277195,"0852072864",0
"1171",277195,"1558743669",0
"1172",277195,"1571740562",0
"1175",277195,"1577311507",0
"1183",277196,"0425184463",0
"1184",277196,"0441694004",0
"1189",277196,"0670820555",0
"1193",277196,"0743205812",0
"1197",277197,"0316969680",8
"1198",277197,"0375703861",7
"1201",277197,"0743206045",0
"1209",277203,"0380600129",0
"1212",277203,"039480001X",9
"1231",277203,"0590466577",7
"1233",277203,"0590629719",10
"1245",277203,"0717287017",8
"1254",277203,"087701759X",10
"1262",277212,"044023722X",8
"1269",277229,"0312282990",7
"1277",277235,"0375703861",10
"1278",277235,"0425188175",7
"1298",277257,"0345422384",8
"1304",277269,"1555037763",6
"1306",277272,"0060591706",0
"1332",277292,"1551668726",8
"1336",277315,"0060173289",8
"1337",277315,"0060976845",5
"1353",277351,"3596200547",5
"1357",277353,"0739417096",8
"1360",277359,"1591820537",4
"1361",277359,"1931514615",0
"1371",277374,"0671521705",7
"1372",277375,"3548603203",0
"1377",277378,"013838939X",0
"1379",277378,"0140008217",0
"1389",277378,"0312195516",7
"1390",277378,"0345315642",0
"1392",277378,"0380731851",0
"1394",277378,"0425176673",0
"1403",277378,"0586056572",0
"1404",277378,"0670892963",7
"1405",277378,"0670894494",0
"1406",277378,"0671028375",0
"1407",277378,"0671646575",6
"1408",277378,"0671683993",0
"1409",277378,"0679741879",0
"1411",277378,"0684872730",0
"1420",277378,"0786881348",0
"1430",277378,"0971880107",0
"1449",277402,"051511605X",6
"1452",277411,"044023722X",0
"1457",277427,"002542730X",10
"1461",277427,"0060002050",0
"1467",277427,"0060913509",0
"1469",277427,"006092988X",0
"1470",277427,"0060930535",0
"1474",277427,"0061004251",0
"1475",277427,"0061009059",9
"1477",277427,"0062505319",0
"1479",277427,"0062735098",0
"1494",277427,"014100018X",0
"1496",277427,"0142001740",0
"1499",277427,"0156000024",0
"1504",277427,"0310221498",0
"1509",277427,"0312302487",0
"1517",277427,"0316096199",0
"1519",277427,"0316284955",0
"1523",277427,"0316776963",8
"1529",277427,"0345311396",0
"1534",277427,"0345339681",0
"1535",277427,"0345347226",0
"1536",277427,"0345361792",0
"1541",277427,"0345404785",0
"1543",277427,"0345412214",0
"1544",277427,"0345413903",10
"1546",277427,"0345436911",0
"1553",277427,"0373705115",0
"1557",277427,"0375700129",0
"1558",277427,"0375703764",0
"1559",277427,"0375726659",0
"1561",277427,"0375751513",9
"1562",277427,"0376012161",0
"1564",277427,"0380600129",0
"1567",277427,"0380710218",0
"1573",277427,"0380820048",0
"1577",277427,"0385261861",0
"1579",277427,"0385424736",9
"1581",277427,"0385484518",0
"1582",277427,"0385486804",9
"1584",277427,"0385503857",9
"1585",277427,"0385504209",8
"1587",277427,"039304016X",8
"1595",277427,"0395936136",0
"1597",277427,"0399144463",0
"1602",277427,"0399501487",9
"1605",277427,"042507448X",0
"1606",277427,"0425087859",0
"1607",277427,"0425104273",0
"1610",277427,"0425113884",0
"1611",277427,"0425115801",0
"1612",277427,"0425116840",8
"1616",277427,"0425133516",9
"1623",277427,"0425163865",0
"1624",277427,"0425169871",0
"1626",277427,"0425175405",0
"1628",277427,"042518627X",0
"1630",277427,"0439064872",0
"1635",277427,"0440170796",0
"1642",277427,"0440208459",0
"1648",277427,"0440224764",7
"1650",277427,"0440225701",0
"1651",277427,"0440236061",8
"1655",277427,"0440419468",0
"1656",277427,"0440428130",8
"1662",277427,"0446325503",8
"1668",277427,"0446604801",0
"1672",277427,"0446609048",0
"1677",277427,"0449221504",0
"1687",277427,"0451180739",8
"1690",277427,"0451202503",0
"1692",277427,"0451404025",0
"1696",277427,"0471018732",10
"1702",277427,"0515132020",0
"1707",277427,"0517883384",0
"1711",277427,"0553078925",8
"1714",277427,"0553268880",0
"1725",277427,"0553571656",10
"1728",277427,"0553572997",0
"1731",277427,"0553577808",0
"1732",277427,"0553578936",0
"1736",277427,"0553581112",0
"1740",277427,"0553801430",0
"1758",277427,"0671679929",0
"1760",277427,"067172021X",8
"1761",277427,"0671722808",0
"1774",277427,"0679419853",10
