"","User","ISBN","Book.Rating"
"13",276746,"0553561618",0
"14",276746,"055356451X",0
"25",276748,"0747558167",6
"30",276755,"0451166892",5
"38",276762,"3404122879",0
"43",276762,"3442424216",0
"91",276798,"3442131340",7
"103",276800,"0061056774",0
"122",276813,"8426449573",6
"128",276814,"0091830893",8
"130",276814,"0812571029",9
"134",276822,"0060096195",10
"138",276822,"0375821813",9
"146",276822,"0786817070",10
"155",276828,"2070403734",0
"160",276828,"2266076000",0
"166",276832,"0345446860",5
"189",276847,"3442435773",8
"192",276847,"3442442796",0
"204",276847,"3499228297",6
"207",276847,"3499264528",0
"209",276847,"3506464078",10
"217",276847,"360893541X",10
"230",276848,"3453061187",0
"254",276856,"2203142278",0
"296",276861,"360893541X",9
"307",276866,"3404131606",0
"308",276866,"3404139178",9
"316",276866,"345309221X",8
"321",276866,"3596129389",0
"328",276872,"0425167097",8
"400",276904,"1566911605",0
"427",276925,"0316666343",0
"428",276925,"0345391810",0
"449",276925,"0679745580",0
"454",276925,"0804106304",0
"465",276925,"2742739351",0
"469",276925,"8401327199",0
"470",276925,"8401462231",0
"472",276925,"8408011200",0
"485",276925,"8423976645",8
"486",276925,"8426109799",8
"511",276925,"8489163499",0
"518",276925,"950491036X",10
"524",276928,"0439135494",0
"525",276928,"059030271X",5
"527",276928,"0590470108",7
"533",276929,"0060964049",0
"551",276929,"2070404587",10
"554",276929,"2070406962",0
"572",276929,"2264024674",5
"601",276929,"2743602295",5
"618",276936,"3596147700",3
"633",276939,"2253152072",9
"642",276939,"844140321X",0
"682",276964,"0312864590",0
"684",276964,"0345348672",10
"687",276964,"0345435036",10
"700",276964,"0765342987",0
"702",276964,"0812550307",10
"703",276964,"0843949163",8
"706",276964,"0886774829",8
"707",276964,"0886775426",9
"717",276984,"0590417827",0
"725",276984,"0590436503",0
"734",276984,"0590483056",0
"735",276986,"0060930187",10
"738",276986,"0874869870",10
"745",276988,"0671793489",8
"771",276998,"0618045996",8
"775",277009,"0452282101",9
"788",277031,"1883473004",8
"789",277032,"0061007129",8
"791",277036,"0812511816",9
"792",277036,"0833531654",0
"793",277036,"0880381736",9
"799",277042,"0312283709",8
"803",277042,"0446611212",8
"809",277042,"0743407067",0
"815",277048,"3442435838",0
"821",277051,"0385720920",10
"822",277051,"0393319296",0
"826",277051,"3257228007",0
"830",277051,"3464371506",3
"833",277056,"3442451353",7
"837",277065,"0816704627",4
"839",277073,"0060595183",0
"843",277085,"0434009407",8
"866",277096,"0064407667",7
"874",277109,"0066210151",0
"876",277109,"0425191184",5
"878",277109,"0751503894",5
"882",277123,"0399138684",0
"886",277124,"0553586122",5
"900",277143,"0345446860",0
"906",277155,"1558744592",0
"926",277157,"0399138188",0
"928",277157,"0399146466",6
"931",277157,"0399147101",7
"937",277157,"0399148639",6
"945",277157,"0399151885",0
"956",277157,"0679450408",6
"959",277157,"0684871726",0
"962",277157,"0743407377",6
"963",277157,"0743486226",7
"974",277168,"0425182932",0
"979",277168,"0553095439",0
"985",277168,"0671032658",4
"997",277170,"0446610038",0
"998",277170,"0451178017",0
"1006",277171,"0385479565",0
"1048",277187,"0425144690",0
"1056",277187,"0553281089",0
"1064",277187,"0786701420",0
"1077",277188,"0385510500",0
"1081",277189,"074341232X",8
"1083",277195,"0060196076",0
"1086",277195,"0060908548",0
"1089",277195,"0060960930",0
"1090",277195,"0060987561",0
"1094",277195,"015644450X",0
"1099",277195,"0316666343",0
"1103",277195,"0345384202",0
"1105",277195,"0345459407",0
"1112",277195,"0385483503",0
"1118",277195,"042511774X",0
"1119",277195,"0440174953",9
"1120",277195,"0440214424",0
"1121",277195,"0440236673",0
"1125",277195,"0446606383",0
"1131",277195,"0553251996",0
"1144",277195,"0671647458",10
"1147",277195,"0679459618",0
"1174",277195,"1573221856",10
"1176",277195,"158243011X",0
"1194",277196,"0812521129",0
"1202",277197,"0743229878",6
"1213",277203,"0394800028",9
"1226",277203,"0590442791",9
"1238",277203,"0717283194",8
"1242",277203,"0717283372",8
"1263",277220,"0671015648",7
"1271",277230,"037541309X",7
"1272",277230,"0826308791",5
"1281",277242,"0812514440",5
"1283",277244,"0345443284",0
"1284",277244,"0395742803",0
"1286",277244,"055347782X",8
"1287",277244,"0670401765",0
"1291",277245,"0316601950",0
"1292",277246,"0452282152",10
"1335",277314,"0446360716",6
"1346",277340,"0385494084",0
"1363",277363,"0156027321",8
"1373",277378,"0006485294",0
"1374",277378,"0060164662",0
"1376",277378,"0138030405",0
"1380",277378,"0140017852",0
"1393",277378,"0385474016",0
"1410",277378,"0684872153",0
"1414",277378,"0713911131",0
"1422",277378,"0804109729",0
"1438",277389,"2253141860",4
"1453",277413,"0316666343",0
"1460",277427,"0030615321",0
"1462",277427,"0060006641",10
"1472",277427,"0060934417",0
"1485",277427,"0140067477",0
"1489",277427,"0140283374",6
"1498",277427,"0152050167",10
"1502",277427,"0201000822",10
"1503",277427,"0310205719",0
"1506",277427,"0310396514",0
"1518",277427,"0316168688",0
"1520",277427,"0316569321",0
"1521",277427,"0316602051",0
"1522",277427,"0316666343",0
"1524",277427,"0316777730",0
"1533",277427,"0345338545",0
"1540",277427,"0345404777",0
"1560",277427,"0375727132",0
"1563",277427,"0376034750",0
"1569",277427,"0380718332",0
"1571",277427,"0380791978",9
"1572",277427,"038081904X",9
"1580",277427,"0385482388",0
"1583",277427,"038548951X",0
"1592",277427,"0394738136",7
"1596",277427,"0399132678",0
"1600",277427,"0399149562",7
"1608",277427,"0425104338",9
"1620",277427,"0425155943",0
"1622",277427,"0425158616",0
"1627",277427,"0425176088",0
"1640",277427,"0440201071",0
"1646",277427,"0440217466",0
"1652",277427,"0440236703",0
"1661",277427,"0446311677",5
"1669",277427,"0446607193",0
"1671",277427,"0446608890",10
"1673",277427,"0446611212",0
"1675",277427,"0446677507",0
"1676",277427,"0449221482",0
"1679",277427,"0449224813",0
"1686",277427,"0451177096",0
"1688",277427,"0451184742",0
"1689",277427,"0451191153",8
"1698",277427,"0486424634",0
"1726",277427,"0553571818",0
"1727",277427,"0553572865",0
"1735",277427,"0553581058",0
"1738",277427,"0553582755",0
"1739",277427,"0553586122",0
"1744",277427,"0631194975",0
"1747",277427,"067086045X",0
"1750",277427,"067101417X",0
"1755",277427,"0671441981",0
"1759",277427,"067170561X",0
"1763",277427,"0671729470",0
"1777",277427,"0679731148",9
"1782",277427,"0684846713",0
"1787",277427,"0684872153",0
"1792",277427,"070434100X",0
"1797",277427,"0736903054",8
"1798",277427,"0740723367",9
"1800",277427,"0743412028",9
"1807",277427,"0764550896",0
"1814",277427,"0800786459",0
"1815",277427,"0802425488",9
"1827",277427,"0810909650",5
"1841",277427,"0836213076",10
"1842",277427,"0836217632",0
"1844",277427,"0836218221",0
"1845",277427,"0836218515",10
"1848",277427,"0836218817",10
"1862",277427,"084993785X",0
"1867",277427,"0872016269",0
"1870",277427,"0877017883",0
"1881",277427,"0890876517",10
"1885",277427,"0894803204",0
"1889",277427,"0897210026",0
"1910",277427,"0918956730",0
"1922",277427,"1551668157",0
"1926",277427,"1559586893",10
"1927",277427,"1559703865",0
"1929",277427,"1563052377",0
"1932",277427,"1565075722",10
"1933",277427,"1565120310",0
"1966",277439,"0316666343",7
"1974",277439,"0671027360",7
"1991",277466,"044022165X",0
"1996",277466,"051512219X",0
"1997",277466,"0553121510",0
"2003",277466,"0684855518",9
"2022",277478,"0140318720",8
"2028",277478,"0226244954",0
"2032",277478,"0312848765",0
"2033",277478,"0312858175",0
"2036",277478,"0312873840",0
"2042",277478,"0340565276",8
"2044",277478,"0340745983",8
"2045",277478,"0345307674",0
"2046",277478,"0345310799",0
"2048",277478,"0345332687",0
"2049",277478,"0345334531",0
"2055",277478,"0345443284",0
"2064",277478,"0373289812",0
"2075",277478,"038067470X",7
"2078",277478,"0394719603",0
"2079",277478,"0399128158",9
"2087",277478,"0425161242",0
"2089",277478,"0425181200",0
"2091",277478,"0425191184",0
"2100",277478,"0440234743",0
"2103",277478,"0441206697",0
"2104",277478,"0441845630",0
"2106",277478,"0446356018",0
"2115",277478,"0449907481",0
"2122",277478,"0451523369",0
"2123",277478,"0498024253",0
"2140",277478,"0553579606",0
"2144",277478,"0582275164",0
"2165",277478,"0752844849",0
"2167",277478,"0755109996",0
"2168",277478,"0756401380",0
"2169",277478,"0765305119",0
"2171",277478,"0786868716",0
"2178",277478,"0812532635",0
"2230",277502,"0385482388",9
"2232",277508,"0446609781",8
"2233",277509,"0061091944",0
"2241",277513,"0070212570",0
"2248",277517,"0452282152",8
"2249",277517,"0525946241",9
"2251",277517,"0767904311",9
"2256",277523,"0316693200",10
"2262",277523,"0385510438",10
"2263",277523,"039915180X",10
